group_id,artifact_id,version_number
com.ogaclejapan.smarttablayout,library,1.5.1
org.dbtools,dbtools-android,7.0.9
org.dbunit,dbunit,2.5.0
com.netflix.archaius,archaius-zookeeper,0.5.14
com.ning,async-http-client,1.9.38
com.nimbusds,nimbus-jose-jwt,3.8
com.ogaclejapan.smarttablayout,library,1.6.0
com.mikepenz,materialdrawer,5.3.6
com.netflix.archaius,archaius-zookeeper,0.5.15
org.dbunit,dbunit,2.5.1
com.ning,async-http-client,1.9.4
com.nimbusds,nimbus-jose-jwt,3.8.1
com.ogaclejapan.smarttablayout,library,1.6.1
com.netflix.archaius,archaius-zookeeper,0.5.16
org.dbunit,dbunit,2.5.2
com.ning,async-http-client,1.9.5
com.nhl.link.rest,link-rest,1.14
com.nimbusds,nimbus-jose-jwt,3.8.2
com.mikepenz.materialdrawer,library,0.1.0
com.netflix.archaius,archaius-zookeeper,0.5.4
com.nimbusds,nimbus-jose-jwt,3.9
com.nhl.link.rest,link-rest,1.15
com.ogaclejapan.smarttablayout,utils-v13,1.0.0
com.ning,async-http-client,1.9.6
com.mikepenz.materialdrawer,library,0.1.1
com.netflix.archaius,archaius-zookeeper,0.5.5
com.nimbusds,nimbus-jose-jwt,3.9.1
com.nhl.link.rest,link-rest,1.16
com.ogaclejapan.smarttablayout,utils-v13,1.1.0
com.ning,async-http-client,1.9.7
com.mikepenz.materialdrawer,library,0.7.0
com.netflix.archaius,archaius-zookeeper,0.5.6
com.nimbusds,nimbus-jose-jwt,3.9.2
com.nhl.link.rest,link-rest,1.17
com.ogaclejapan.smarttablayout,utils-v13,1.1.1
com.mikepenz.materialdrawer,library,0.7.2
com.ning,async-http-client,1.9.8
com.netflix.archaius,archaius-zookeeper,0.5.8
com.nimbusds,nimbus-jose-jwt,4.0
com.nhl.link.rest,link-rest,1.18
com.ogaclejapan.smarttablayout,utils-v13,1.1.2
com.mikepenz.materialdrawer,library,0.7.3
com.ning,async-http-client,1.9.9
com.netflix.archaius,archaius-zookeeper,0.5.9
com.nimbusds,nimbus-jose-jwt,4.0-rc1
com.nhl.link.rest,link-rest,1.19
